term_raw,universal_title,title_code,definition_verbatim,explanation,definition_basis,definition_basis_code,author,profession,discipline,country,year,source_MLA,page,sub_source,provenance
Special Forces original mission [Johnson],Special Forces,1,The Special Forces group's original mission focused on unconventional warfare-working with indigenous forces to overthrow a hostile government-along with long-range reconnaissance and sabotage operations behind enemy lines.,,Role and Function,4,"Johnson, Matthew",1,Strategic Studies,United States,2006,"Johnson, Matthew. ""The Growing Relevance of SOF in U.S. Military Strategy."" Comparative Strategy 25.4 (2006): 273-296.",276,,candidate-2026-06-06;source:SOF Articles (Zotero)
"SOF [journalist def, q. Horn]",Special Operations Forces,4,"the toughest, smartest, most secretive, fittest, best-equipped and consistently lethal killers in the U.S. [or any other] military.",,Operators,3,"Walker, William (q. in Horn)",1,Journalism,Canada,2004,"Quoted in Bernd Horn, ""When Cultures Collide,"" Canadian Military Journal 5.3 (2004): 3-16; from W. Walker, Toronto Star, 20 Oct 2001.",4,,candidate-2026-06-06;source:SOF Articles (Zotero)
"SOF [Clancy, q. Horn]",Special Operations Forces,4,"specially selected, specially trained, specially equipped, and given special missions and support.",,Operators*Organization*Role and Function,,"Clancy, Tom (q. in Horn)",1,Popular military,Canada,2004,"Quoted in Horn 2004 from Tom Clancy, Special Forces (2001), p.3.",4,,candidate-2026-06-06;source:SOF Articles (Zotero)
"modern SOF [Adams, q. Horn]",Special Operations Forces,4,"specially organized, trained and equipped military and paramilitary forces that conduct special operations to achieve military, political, economic or informational objectives by generally unconventional means in hostile, denied or politically sensitive areas.",,Organization*Operators*Role and Function,,"Adams, Thomas K. (q. in Horn)",1,Defense Studies,Canada,2004,"Quoted in Horn 2004 from Thomas K. Adams, US SOF in Action (1998), p.7.",4,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF three-tier definition [Horn],Special Operations Forces,4,"SOF can be broken down into roughly three tiers that correspond both to the rigour of the selection standards and to the role equated with each level... 'Tier One' SOF consists of primarily 'black operations' or counter terrorism... 'Tier Two'... high value tasks such as Strategic Reconnaissance and Unconventional Warfare... 'Tier Three', consists of those units, such as the American Rangers... whose primary mission is Direct Action... Generally, units below this line are not considered SOF.",,Operators*Role and Function,10,"Horn, Bernd",3,Military History,Canada,2004,"Bernd Horn, ""When Cultures Collide,"" Canadian Military Journal 5.3 (2004): 3-16.",11-12,,candidate-2026-06-06;source:SOF Articles (Zotero)
"elite units [Cohen, q. Horn]",Elite Forces,2,an almost universally observed characteristic of elite units is their lack of formal discipline - and sometimes a lack of substantive discipline as well.,,Operators,3,"Cohen, Eliot (q. in Horn)",1,Political Science,United States,2004,"Quoted in Horn 2004 from Eliot Cohen, Commandos and Politicians, p.74.",8,,candidate-2026-06-06;source:SOF Articles (Zotero)
Special Forces UW conception [Simons & Tucker],Special Forces,1,"Members of SF often boil UW down to any effort in which they work 'by, through, and with' indigenous forces. From an SF perspective, the goal of UW is to help win a war by working with-as opposed to neutralizing or fighting around-local populations.",,Role and Function,4,"Simons, Anna; Tucker, David",1,Defense Analysis,United States,2003,"Simons, Anna, and David Tucker. ""United States SOF and the War on Terrorism."" Small Wars & Insurgencies 14.1 (2003): 77-91.",82,,candidate-2026-06-06;source:SOF Articles (Zotero)
special operations force [Lambakis],Special Operations Forces,4,"A special operations force is a group of intensely committed soldiers that receives special training to employ highly developed skills and its unique experiences to execute, most of the time secretly and covertly, sharply defined missions not normally undertaken by regular forces.",,Operators*Role and Function*Organization,,"Lambakis, Steven",1,Public Policy,United States,1994,"Lambakis, Steven. ""'Forty selected men can shake the world': The contributions of special operations to victory."" Comparative Strategy 13.2 (1994): 211-221.",213,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF shared characteristics [Lambakis],Special Operations Forces,4,"All special operations forces share certain characteristics... special operations forces can be identified by their flexibility, versatility, adaptability, responsiveness, durability, ingenuity, and capacity to act independently of other military forces.",,Role and Function*Organization,,"Lambakis, Steven",1,Public Policy,United States,1994,"Lambakis, Steven. Comparative Strategy 13.2 (1994): 211-221.",213,,candidate-2026-06-06;source:SOF Articles (Zotero)
SOF not elite infantry [Lambakis],Special Operations Forces,4,"special operations forces are intended to perform special operations. They are not simply elite infantry possessing above-average skills and endurance levels. Regardless of the country or the historical moment, there are intrinsic or constitutional differences between special operations and regular forces.",,Role and Function*Designation,,"Lambakis, Steven",1,Public Policy,United States,1994,"Lambakis, Steven. Comparative Strategy 13.2 (1994): 211-221.",213,,candidate-2026-06-06;source:SOF Articles (Zotero)
commando operations [Thomas],Special Forces,1,Commando operations in the sense of self-contained acts of war mounted by self-sufficient forces operating within enemy territory are as old as warfare itself.,,Role and Function*Operators,,"Thomas, David",3,Military History / Intelligence,United States,1983,"Thomas, David. ""The Importance of Commando Operations in Modern Warfare 1939-82."" Journal of Contemporary History 18.4 (1983): 689-717.",689,,candidate-2026-06-06;source:SOF Articles (Zotero)
US Army Special Forces / UW [Thomas q. US doctrine],Special Forces,1,"In 1952, the US Army Special Forces were established for the purpose of waging what the army defined as 'unconventional warfare' in the rear... this form of warfare encompassed guerrilla warfare, escape and evasion, psychological warfare, and subversion. Thus, it had essentially nothing to do with commando operations in the proper sense.",,Designation*Role and Function,7,"Thomas, David (q. US Army doctrine)",3,Military History,United States,1983,"Thomas, David. Journal of Contemporary History 18.4 (1983): 689-717.",709,,candidate-2026-06-06;source:SOF Articles (Zotero)
"LRPG not a commando unit [Thomas, boundary]",Other Units,5,"the Long Range Penetration Group (LRPG), a large, independent raiding force, which operated on a self-contained basis behind Japanese lines... nor can this force be regarded as a commando unit in the strict sense.",,Organization*Role and Function,9,"Thomas, David",3,Military History,United States,1983,"Thomas, David. Journal of Contemporary History 18.4 (1983): 689-717.",698,,candidate-2026-06-06;source:SOF Articles (Zotero)
"special operations [Deruelle, by mission not operators]",Special Operations Forces,4,"The difference between these special operations and 'regular warfare' (battles, sieges) lay neither in numbers nor in the specialisation of soldiers, but in missions characterised by limited aims, surprise, tricks, stratagems, initiative taken at low levels of command, and constant adaptation.",,Role and Function,4,"Deruelle, Benjamin",1,History,France,2014,"Deruelle, Benjamin. ""The sixteenth-century antecedents of special operations 'small war'."" Small Wars & Insurgencies 25.4 (2014): 754-766.",755,,candidate-2026-06-06;source:SOF Articles (Zotero)
parti / party [Deruelle q. Richelet 1680],Other Units,5,"a 'party' is 'a unit of soldiers that one sends to plunder, or to reconnoitre and ravage the enemy country'.",,Organization*Role and Function,9,"Richelet, Pierre (q. in Deruelle)",1,History (period dictionary),France,2014,"Quoted in Deruelle 2014 from Pierre Richelet, Dictionnaire Francois (1680).",755,,candidate-2026-06-06;source:SOF Articles (Zotero)
parti [Deruelle q. Furetiere],Other Units,5,"a detachment is recognised a 'parti' if it has a 'written order from the commander, and if it counts at least... twenty foot soldiers or fifteen horsemen, or else they are considered brigands'.",,Organization*Designation,5,"Furetiere, Antoine (q. in Deruelle)",1,History (period dictionary),France,2014,"Quoted in Deruelle 2014 from Antoine de Furetiere, Dictionnaire Universel.",756,,candidate-2026-06-06;source:SOF Articles (Zotero)
