term_raw,universal_title,title_code,definition_verbatim,explanation,definition_basis,definition_basis_code,author,profession,discipline,country,year,source_MLA,page,sub_source,provenance
Special Operations Forces,Special Operations Forces,4,"Small, carefully selected military, paramilitary, and civilian units with unusual (occasionally unique) skills, which are superlatively trained for specific rather than general purposes, and are designed to undertake unorthodox tasks that ordinary units could accomplish only with far greater difficulty and far less effectiveness, if at all.  SOF, however, are not needed for all special operations.",,Operators,3,,2,,United States,1987,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",112,,original
Special Operations Forces,Special Operations Forces,4,"Like a carpenter's combination tool, SOF provides a wide variety of capabilities for the CINC's operational toolbox. In war, SOF exploits enemy weaknesses, as a combat multiplier for conventional forces, and sets conditions for operational success. In operations short of war, where conventional forces are constrained by political limitations, SOF provides a means to achieve the strategic ends for the theater. In short, as the political influence on the operational continuum increases, the application of SOF increases as the ability to use conventional forces decreases.",,?,?,,2,,United States,1991,"Bonham, Gordon C. ""Special Operations Forces: The Combination Tool in the CINC's Operational Toolbox."" Thesis. Thesis / Dissertation ETD, 1991. Print.",Abstract,,original
Special Operations Forces,Special Operations Forces,4,"Forces specifically organized, trained and equipped to conduct or support special operations. They pos- sess unique capabilities designed to address those missions, regardless of where they are conducted in the operational continuum",,Organization,2,,2,,United States,1991,"Bonham, Gordon C. ""Special Operations Forces: The Combination Tool in the CINC's Operational Toolbox."" Thesis. Thesis / Dissertation ETD, 1991. Print.",2,"The Joint Chiefs of Staff Publication 3-05 (JOS Pub 3-05), Doctrine for Joint Special Operations",original
Special Operations Forces,Special Operations Forces,4,"SOF is, by doctrine, a joint force made up of Army, Air Force, and Navy Special Operations Forces. Although single service special operations are possible in concept, they are infeasible in practice. The execution of a special operation, from insertion to extraction, requires a joint air, ground, and maritime team to achieve mission success.",,?,?,,2,,United States,1991,"Bonham, Gordon C. ""Special Operations Forces: The Combination Tool in the CINC's Operational Toolbox."" Thesis. Thesis / Dissertation ETD, 1991. Print.",2,,original
Special Operations Forces,Special Operations Forces,4,"Special Operations Forces are an essential part of the . . . 'Total Army'. They perform critical functions complementing heavy and light forces in the middle and upper reaches of the conflict spectrum. They are generally the force of first choice for dealing with threats at the lower end of the conflict spectrum due to their regional expertise, language qualifications, austere support requirements, and lower visibility.","As evidenced by the Army's accomplishments of the past ten years, one must conclude Special Forces is alive and well, totally established in the Service and Joint communities, and viable, given the in-place systems. One must further conclude, however, that the dynamism of the global situation, an impending defense budget cut and a concomitant build-down of the Army pose potential problems for the future of Special Forces",Designation,1,,2,,United States,1991,"Hilton, Corson L. ""United States Army Special Forces: From a Decade of Development to a Sustained Future."" Thesis. US Army War College, 1991. Print.",29,"(U)Special Operations Forces Modernization Action Program(SOFNAP)(S), HQDA, DCSOPS, August 1989, sec. 1,p.6.42",original
Special Operations Forces (U.S.),Special Operations Forces,4,"US special operations figure prominently in the new adaptive joint force packages that are being put together by US Atlantic Command (USACOM) in Norfolk, VA, to support the needs of US regional commanders-in-chief overseas. The new force packages, in particular, are designed to augment traditional peacetime rotational deployments of US Navy and Marine forces on ships overseas, which cannot by sustained at previous levels due to force structure cuts.",,Designation,1,,3,"Government, Engineering",United States,1994,"Goodman, Glenn W., Jr. Rangers Get Sealegs: Special Operations Play in New Joint Force Packages. Armed Forces Journal International 131:52 May '94. Print.",52,,original
Special Operations Forces,Special Operations Forces,4,"Force multipliers for US conventional forces combating regional aggression; contribute directly to conventional combat operations, complicating enemy operations through assistance to indigenous forces allied with the US and seling the victory through post-hostility and restoration activities",,Designation*Organization,5,,2,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",195,,original
Special Operations Forces,Special Operations Forces,4,"Covers a wide variety of non-conventional operations that includes in a broad sense the activities of SF

Different from SF because of special function (aviation, intelligence assets, etc.) or conventional orientation (e.g., US Rangers, British Parachute Regiment)

Development was 'ad hoc' and contingent to specific theatres and military leaders","Conventional orientation SOFs are widely considered to be elite of infantry, but they are not special",Role and Function,4,,1,"Economics, International Politics",United Kingdom,2009,"Finlan, Alastair. ""The (Arrested) Development of UK Special Forces and the Global War on Terror."" Review of International Studies 35.04 (2009): 971. Print.",972-974,,original
"Special Operations Forces (""Warrior"")",Special Operations Forces,4,"Contemporary manifestation of S. L. A. Marshall's one-in-four ""firers""","""Warriors"" v. soldiers because ""warriors are more balanced, informed and cautious when it come to combat decision-making, political sensitivity and intellectual activity, but nevertheless more ruthless at the decisive point",Operators,3,,1,Sociology,United Kingdom,2009,"King, A. ""The Special Air Service and the Concentration of Military Power."" Armed Forces & Society 35.4 (2009): 646-66. Print.",654,"Rune Henriksen, “Warriors in Combat—What Makes People Actively Fight in Combat,” Journal of Strategic Studies 30, 2 (2007): 187-223",original
Special Operations Forces (Characteristics of),Special Operations Forces,4,"Skilled, mobile troops; cost effective solution to strategic challenges; existentially and psychologically oriented to combat; they are more tactically and politically astute than mere soldiers; more reluctant to fire than soldiers, but when they shoot, they shoot to kill",debate over these being intrinsic characteristics or result of group training,Operators,3,,1,Sociology,United Kingdom,2009,"King, A. ""The Special Air Service and the Concentration of Military Power."" Armed Forces & Society 35.4 (2009): 646-66. Print.",649/654,,original;facet_of:Special Operations Forces
Special Operations Forces (Strategic Utility),Special Operations Forces,4,"(1) economy of force (SOF can serve as force multipliers for regular units in the battlefield); and, (2) expanding the options available to political and military leaders (the availability of special operations capability means that a country can use force flexibly, minimally, and precisely)",,Role and Function,4,,1,Political Science,Israel,2010,"Leslau, Ohad. ""Worth the Bother? Israeli Experience and the Utility of Special Operations Forces."" Contemporary Security Policy 31.3 (2010): 509-30. Print.",512,"Strategic utility is ‘the contribution of a particular kind of military activity to the course and outcome of an entire conflict’. Gray, Explorations in Strategy (note 5), p. 163.",original;facet_of:Special Operations Forces
Special Operations Forces,Special Operations Forces,4,"Global Scouts' who serve to 'assure US allies and friends of US government resolve,' and who in the future will be used to defeat improved enemy 'means and methods of anti-access and anti-denial' activities",,Designation,1,,3,"International Relations, Defence Studies",Australia,2004,"Brailey, Malcolm. ""Not Many Jobs Take a Whole Army: Special Operations Forces and the Revolution in Military Affairs."" Thesis. Institute of Defence and Strategic Studies Singapore, 2004. Print.",15,"Special Operations force Posture Statement, p. 28",original
Special Operations Forces (Mode of Operation),Special Operations Forces,4,"""Focus on harmonization of effects - not synchronization of activities. Simply put, although SOF normally operate independently, their effect is coordinated with the theatre campaign plan to support, enhance, and advance the impact of conventional forces""",,Role and Function,4,,2,,United States,2008,"United States of America. National Security Agency. North Atlantic Treaty Organization. Special Operations Forces Study. By NATO Special Operations Coordination Centre. N.p.: n.p., 2008. Print.",8,Canadian Special Operations Forces Command (CANSOFCOM),original;facet_of:Special Operations Forces
Special Operations Forces (Purposes),Special Operations Forces,4,"1) Critical to peacetime engagemtn and crucial to deterrence
2) Expand the range of options available to decision makers confronting crises and conflicts below the threshold of war, such as terrorism, insurgency, and sabotage
3) Act as force multipliers in support of conventional forces engaged in major conflicts, increasing effectiveness and efficiency of US military effort
4) Expand national capabilities to react to situations requiring regional orientation and cultural and political sensitivity, including military-to-military contacts and noncombatant missions like humanitarian assistance, security assistance, and peace-keeping operations",,Operators*Role and Function,10,,1,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",193,,original;facet_of:Special Operations Forces
Special Operations Forces (Role),Special Operations Forces,4,"1) They are nation's penetration and strike force, able to respond to specialized contingencies across the conflict spectrum with stealth, speed, and precision
2) They are warrior-diplomats capable of influencing, advising, training, and conducting operations with foreign forces, officials, and populations",,Designation*Operators,6,,1,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",193,,original;facet_of:Special Operations Forces
Special Operations Forces (v. Traditional Forces),Special Operations Forces,4,"Difference lies in degree of political risk, often unconventional mode of employment, independence from friendly support, and their dependence on detailed intelligence and indigenous assets",,Role and Function,4,,1,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",195,,original
Special Operations Forces,Special Operations Forces,4,Support defensive strategy by providing decision makeers with increased options for achieving the national military objectives of promoting stability and thwarting aggression; receive national level oversight to ensure their full integration into planning for conventional operations and interagency planning,,Designation,1,,1,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",195,,original
Special Operations Forces,Special Operations Forces,4,"Provide the US with immediate and primary capability to respond to terrorism and serve as ""the military mainstay of the United States for the purpose of nation-building and training fondly foreign forces in order to preclude deployment or combat involving the conventional or strategic fores of the United States.""",,Designation,1,,2,,United States,1993,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",3,,original
Special Operations Forces,Special Operations Forces,4,"Employable where high-profile conventional forcess appear to be politically, militarily, and/or economically inappropriate; small, self-reliant, readily deployable units that capitalize on speed, surprise, audacity, and deception to accomplish missions in ways that minimize risks of escalation and concurrently maximize returns compared with orthodox applications of military power, which normally emphasizes mass",,Operators,3,,2,,United States,1993,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",5,,original
Special Operations Forces,Special Operations Forces,4,"First is the concept of being ""global scouts."" Special operations in the future will have forward presence with minimum forward bases -- forward present because of all our training missions. Those small groups can collect a lot of knowledge about their areas ... and relay information that can give regional CINCs and National Command Authorities a real feel for what is going on in that area. 

Second, we will be the pathfinders for the stratefy of engagement in the [next] century. Until we come up against a peer competitor in the future or a group of peer competitors, we think the idea of engagement and enlargement -- engagement with other nations to enlarge democracy and competitive markets -- will be an important part of what we do. Our soldiers will be doing that because of their cultural understanding, and we see in the future that will be more of our niche, even more than today. We also have a highly specialized direct-action capability, and those forces will remain force multipliers. Should we go from engagement and enlargement [to] conflict, when we make that very easy transition into doing direct action. For early forced entry, our forces will be the choice. We will be key ""enablers"" for our coalitions, providing for early integration into plans and operations and building mutual trust.

Our role will also be to serve as providers for peacekeeping and stability transitions. We can't do it all. The special operations forice is relatively small, so we are still going to need large forces for peacekeeping and stability -- brigades of soldiers to do that -- but the soldiers who will enable it to happen and be the ones who make the transition easy for the standard conventional commander will be psychological operations [PSYOP], civil affairs and Special Forces soldiers.",,Designation*Role and Function,7,,2,,United States,1997,"Steele, Dennis. Defining Army Special Ops' Role for the Next Century. Army 47:16-20 Apr '97. Print.",16-20,,original
Special Operations Forces,Special Operations Forces,4,"SOF have determined that their soldiers will be more successful if they have the following attributes:
Organizational skills, trainability, situational awareness, ability to make complex discriminations and decisions, personal adaptability, resistance to stress, dependability, determination, and stability, and physical endurance and specialized military skills

SOF must select soldiers who can remain ""mentally alive"" while experiencing deep fatigue and personal discomfort.",,Operators,3,,2,,United States,1996,"Carlin, Thomas M. (Col) and Sanders, Mike. Soldier of the Future: Assessment and Selection of Force XXI. Special Warfare 9:16-21 May '96. Print.",16-21,,original
Special Operations Forces,Special Operations Forces,4,"Unlike conventional forces, (SOF) usually work in small teams. They opreate behind enemy lines, train indigenous forces, or work with other countries to rebuild nations after war. Special operations forces may be most useful during periods of relative peace or ""behind enemy lines"" in major conflicts. This unconventional, often indirect, warfare has long been unappreciated or even disdained by conventional forces.

Special operations forces have developed unique operational capabilities and missions that distinguish them from their conventional counterparts. Each group performs missions and meets requirements that more conventionally trained or organized forces can not adequately address. The success of these operations has often required unconventional men and, occasionally, women.

They are nearly always commanded by conventional force commanders who are not trained in SOF capabilities and occasionally mistrust the forces.",,Organization*Operators,8,,3,Public and International Affairs,United States,1997,"Marquis, Susan L. Unconventional Warfare: Rebuilding U.S. Special Operations Forces. Washington, D.C.: Brookings Institution, 1997. Print.",7-Jun,,original
Special Operations Forces,Special Operations Forces,4,"1) CT and UW are strictly special operations
2) May remain in hostile territory for weeks or months collecting otherwise unattainable information
3) Combat readiness improves during FIDs
4) Stronger orientation and language skills
5) More self-reliant",,Operators,3,,2,,United States,1993,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",5 to 6,,original
Special Operations Forces (Responsibilities),Special Operations Forces,4,"1) Direct Action (DA)
2) Strategic Reconnaissance (SR)
3) Unconventional Warfare (UW)
4) Foreign Internal Defense (FID)
5) Civil Affairs (CA)
6) Psychological Operations (PSYOP)
7) Counterterrorism (CT)
8) Humanitarian Assistance (HA)
9) Theater Search and Rescue (TSAR)
10) Other activities as specified by President or Secretary of Defense",,Role and Function,4,,2,,United States,1993,"United States of America. Library of Congress. Congressional Research Service. Special Operations Forces: An Assessment 1986-1993. By John M. Collins. Washington, D.C.: Congressional Research Service, 1993. Print.",3,,original;facet_of:Special Operations Forces
"Special Operations Forces (Missions; for details on each, see doc)",Special Operations Forces,4,"1) Counterproliferation (CP)
2) Combating Terrorism (CBT)
3) Foreign Internal Defense (FID)
4) Special Reconnaissance (SR)
5) Direct Action (DA)
6) Psychological Operations (PSYOP)
7) Civil Affairs (CA)
8) Unconventional Warfare (UW)
9) Information Warfare (IW) / Command and Control Warfare (C^2W)",,Role and Function,4,,2,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",194,,original;facet_of:Special Operations Forces
Special Operations Forces (Areas of Collateral Activity),Special Operations Forces,4,"1) Coalition Support
2) Combat Search and Rescue (CSAR)
3) Counterdrug (CD) Activities
4) Humanitarian Demining Operations (HDO)
5) Humanitarian Assistance (HA)
6) Security Assistance (SA)
7) Special Activities",,Role and Function,4,,2,,United States,1997,"United States. Dept. of Defense. Annual Report - Department of Defense. [Washington]: Dept. of Defense, 1997. Print.",194,,original;facet_of:Special Operations Forces
Special Operations Forces (Missions),Special Operations Forces,4,"1) Unconventional Warfare - regular military forces leading local resistance units
2) Interdiction - conducted behind enemy lines to attack convoys, logistics centers, pipelines, or headquarters involved with maintaining the flow of war supporting materials to the front
3) Psychological Warfare - activities designed to demoralize enemy troops and encourage the desertion or defection
4) Subversion and Sabotage - conducted behind enemy lines to attack high priority targets, hit political elite, or disrupt higher command echelons
5) Strategic Intelligence - acquisition of strategic intelligence",,Role and Function,4,,2,,United States,1989,"Byars, William R. Combined Control of Special Operations Forces in the Central Region of Allied Command Europe. Rep. Alabama: Air War College Air University, 1989. Print.",4 to 5,,original;facet_of:Special Operations Forces
(CIA) Special Operations Forces,Special Operations Forces,4,"Mostly civilians, who mingle with selected military personnel on loan from U.S. armed services. Total numbers are classified, but certainly small, because they conduct covert special activities individuall or rely extensively on foreign resources (such as tribes in Laos and Vietnam) for large-scale operations, according to accounts by advocates and detractors alike.",,Organization,2,,2,,United States,1987,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",21,,original
(Army) Special Operations Forces,Special Operations Forces,4,"Hitchhikers who depend wholly on the Air Force for intertheater airlift and, except for the 160th Aviation Group, most tactical air transport and heavy fire support as well. (Slashed severly in the aftermath of Vietnam)",,Organization,2,,2,,United States,1987,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",27,,original
Special Operations Forces (Organization),Special Operations Forces,4,Book provides org charts for the SOF of several US armed forces branches,,Organization,2,,2,,United States,1987,"Collins, John M. Green Berets, Seals, and Spetsnaz: U.S. and Soviet Special Military Operations. Washington: Pergamon-Brassey's, 1987. Print.",32-37,,original;facet_of:Special Operations Forces
Special Operations Forces (Groups),Special Operations Forces,4,"For groups and the mission, capability, and organization of each, see pages 34-40",,Role and Function,4,,2,,United States,1987,"Hilton, Corson L. ""United States Army Special Forces: From a Decade of Development to a Sustained Future."" Thesis. US Army War College, 1991. Print.",34-40,,original;facet_of:Special Operations Forces
SOF [Gray],Special Operations Forces,4,"(With respect to terminology, SOF are regular troops trained to fight irregularly.)",,Operators*Role and Function,,"Gray, Colin S.",1,Political Science / Strategy,United Kingdom,1999,"Gray, Colin S. ""Handfuls of Heroes on Desperate Ventures: When Do Special Operations Succeed?"" Parameters 29.1 (1999): 2-24.",4,,added-2026-06-06;source:SOF Articles (Zotero)
SOF [Gray],Special Operations Forces,4,special operations forces offer the prospect of a favorably disproportionate return on military investment... SOF provide the possibility of a range of precisely conducted military activities more extensive than that reliably feasible for regular warriors conducting regular operations.,,Role and Function,4,"Gray, Colin S.",1,Political Science / Strategy,United Kingdom,1999,"Gray, Colin S. ""Handfuls of Heroes on Desperate Ventures."" Parameters 29.1 (1999): 2-24.",2,,added-2026-06-06;source:SOF Articles (Zotero)
Special operations [Gray q. Arquilla],Special Operations Forces,4,that class of military (or paramilitary) actions that fall outside the realm of conventional warfare during their respective time periods.,,Role and Function,4,"Arquilla, John (q. in Gray)",1,Strategy,United States,1999,"Quoted in Gray 1999 from John Arquilla, From Troy to Entebbe (1996), pp. xv-xvi.",note 3,,added-2026-06-06;source:SOF Articles (Zotero)
SOF as elite [Gray],Elite Forces,2,"they are elite warriors, after all--the trouble is that they are few in number",,Operators,3,"Gray, Colin S.",1,Strategy,United Kingdom,1999,"Gray, Colin S. ""Handfuls of Heroes."" Parameters 29.1 (1999).",8,,added-2026-06-06;source:SOF Articles (Zotero)
"SOF [Canadian doctrine, q. Horn]",Special Operations Forces,4,"Special Operation Forces are organizations containing specially selected personnel that are organized, equipped and trained to conduct high-risk, high value special operations to achieve military, political, economic or informational objectives by using special and unique operational methodologies in hostile, denied or politically sensitive areas to achieve desired tactical, operational and/or strategic effects in times of peace, conflict or war.",,Organization*Operators*Role and Function,,CANSOFCOM (q. in Horn),3,Doctrine,Canada,2014,"Quoted in Bernd Horn, ""The Strategic Utility of SOF,"" Canadian Military Journal 14.4 (2014): 66-70; from CANSOFCOM, An Overview (DND, 2008), p.7.",67,,added-2026-06-06;source:SOF Articles (Zotero)
"SOF [WWII triad, Horn]",Special Operations Forces,4,"special men, special training and special missions",,Operators*Organization*Role and Function,,"Horn, Bernd",3,Military History,Canada,2014,"Bernd Horn, ""The Strategic Utility of SOF,"" Canadian Military Journal 14.4 (2014): 66-70.",66,,added-2026-06-06;source:SOF Articles (Zotero)
"Commando [Boer/original, Dobbie]",Other Units,5,"the word commando meant a body of burghers called out for military service, usually on a more or less temporary basis... It corresponded most closely, therefore, to the English term militia. The commando was not the individual burgher, but the military unit of which he was a member.",,Organization*Operators,8,"Dobbie, Elliott V. K.",1,Philology / Linguistics,United States,1944,"Dobbie, Elliott V. K. ""The Word 'Commando'."" American Speech 19.2 (1944): 81-90.",81,,added-2026-06-06;source:SOF Articles (Zotero)
"Commando [WWII official, Dobbie]",Special Forces,1,"In World War II, a Commando is a unit of Special Service troops, roughly corresponding in size to a battalion, trained for combined operations.",,Designation*Organization*Role and Function,,"Dobbie, Elliott V. K.",1,Philology / Linguistics,United States,1944,"Dobbie, Elliott V. K. ""The Word 'Commando'."" American Speech 19.2 (1944): 81-90.",85,,added-2026-06-06;source:SOF Articles (Zotero)
SOF cross-national title equivalence [Sliusarenko],Special Operations Forces,4,"despite the fact that special operations forces in NATO countries have different titles (""Special Operations Forces"" /the USA, Great Britain, France/, ""Special Forces"" /FRG/, ""Special Designation Forces"" /Turkey/), they carry out specific functional tasks which are described below.",,Designation*Role and Function,7,"Sliusarenko, Andrii",3,Military History,Ukraine,2018,"Sliusarenko, Andrii. ""Conceptual Organizational and Functional Models of the Army SOF in the Leading NATO Countries."" UR Journal of Humanities and Social Sciences 1(6) (2018): 75-86.",84,,added-2026-06-06;source:SOF Articles (Zotero)
SOF as 'third force' [Sliusarenko q. Safonov],Special Operations Forces,4,"foreign analysts consider Special Operations Forces as a ""third force"" along with nuclear weapons and conventional forces.",,Role and Function,4,Safonov (q. in Sliusarenko),2,Military,Ukraine,2018,"Quoted in Sliusarenko 2018 from Safonov 2000, p.7.",76,,added-2026-06-06;source:SOF Articles (Zotero)
Special Forces original mission [Johnson],Special Forces,1,The Special Forces group's original mission focused on unconventional warfare-working with indigenous forces to overthrow a hostile government-along with long-range reconnaissance and sabotage operations behind enemy lines.,,Role and Function,4,"Johnson, Matthew",1,Strategic Studies,United States,2006,"Johnson, Matthew. ""The Growing Relevance of SOF in U.S. Military Strategy."" Comparative Strategy 25.4 (2006): 273-296.",276,,added-2026-06-06;source:SOF Articles (Zotero)
"SOF [journalist def, q. Horn]",Special Operations Forces,4,"the toughest, smartest, most secretive, fittest, best-equipped and consistently lethal killers in the U.S. [or any other] military.",,Operators,3,"Walker, William (q. in Horn)",1,Journalism,Canada,2004,"Quoted in Bernd Horn, ""When Cultures Collide,"" Canadian Military Journal 5.3 (2004): 3-16; from W. Walker, Toronto Star, 20 Oct 2001.",4,,added-2026-06-06;source:SOF Articles (Zotero)
